period,channel,studio,xlsx_file,paired_pdf_present,line_count,declared_total_eur,computed_total_eur,difference_eur,validation,parser_family,notes
2026-03,Canal Orange,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_CRAVE NMG_CanalPlay_2026_03.xlsx,yes,4,9.19,9.190,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_03.xlsx,yes,3,2.74,2.74,0.00,passed,xlsx_hpg_canal,
2026-03,Canal Orange,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_03.xlsx,yes,20,100.945,100.945,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_03.xlsx,yes,8,20.68,20.680,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_MYLF NMG_CanalPlay_2026_03.xlsx,yes,23,118.56,118.560,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_03.xlsx,yes,17,127.34,127.340,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_03.xlsx,yes,8,127.86,127.86,0.00,passed,xlsx_hpg_canal,
2026-03,Canal Orange,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_03.xlsx,yes,3,4.0,4.000,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_03.xlsx,yes,13,38.15,38.150,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_03.xlsx,yes,14,31.445,31.445,0.000,passed,xlsx_hpg_canal,
2026-03,Canal Orange,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_03.xlsx,yes,7,45.955,45.955,0.000,passed,xlsx_hpg_canal,
