workspace_path,file_name,vendor_id,vendor,parser_family,processing_role,expected_action,sha256,hash_match,parser_function,classified_parser_family,classification_status,classifier_confidence,mapping_match,report_status,review_required,validation_status,record_count,posting_count,line_item_count,normalized_total,currency,schema_failed_count,failed_checks,error
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_PURE PASSION NMG_Proximus_2026_01.xlsx,report_PURE PASSION NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,bc3f7290311f1340a14c48a079b5fca5ce401730e294b99886279ab444326c16,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,9,1,8,38.135,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_RAW ATTACK NMG_Proximus_2026_01.xlsx,report_RAW ATTACK NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,d7edcb050dfa9920e5e6e637e67e43e1d36c0daf38927114a03214e49caa3b94,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,9,1,8,76.25,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_TEAM SKEET NMG_Proximus_2026_01.xlsx,report_TEAM SKEET NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,a58a48e8f3713dc22f5d9c59903a64c5e1a338c8a217e1a14e4aa168fd38f1e5,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,9,1,8,53.125,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_TRUEX NMG_Proximus_2026_01.xlsx,report_TRUEX NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,f10fc59be1ec89ba58b52bae5a297c5d7d12888cb8d7d78b1e3a7fc8d678f1b1,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,5,1,4,7.77,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_CRAVE NMG_CanalPlay_2026_02.xlsx,report_CRAVE NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,85d7aea21dda73feb3c4d3be67c499eab196f8464c6cffd9000cb7d7f236a37d,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,10,1,9,84.705,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_FILTHY KINGS NMG_CanalPlay_2026_02.xlsx,report_FILTHY KINGS NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,eb322cdd3f0996681bb67c9c303569b6fb9c0a79e04f2b8c0ffbd53fd13ee9e1,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,5,1,4,5.825,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_GROOBY NMG_CanalPlay_2026_02.xlsx,report_GROOBY NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,b366f23b2bb033952d02b6e3958a458515d7a84348bd528021e34a9ad77d91c5,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,14,1,13,51.76,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_MATURE XXX NMG_CanalPlay_2026_02.xlsx,report_MATURE XXX NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,d55b2ea84fc76e22fa0b690c830d73c80266256f850f24096d40a374458e3cc1,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,9,1,8,21.975,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_MYLF NMG_CanalPlay_2026_02.xlsx,report_MYLF NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,b2325cd8e2eb8b8013c5760afe8d8b900ec133623d9b2c0c434f0851e718a976,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,16,1,15,137.28,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_NUBILE FILMS NMG_CanalPlay_2026_02.xlsx,report_NUBILE FILMS NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,1ebbceb4804773b70dacb16ad273db83bdac3a07e9dc1deeae065001b96a785b,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,10,1,9,20.79,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_02.xlsx,report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,4d22d3a757ab466a8ff723d6ac30de495bb0278289f8bd17d6761df03878da3a,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,2,1,1,1.725,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\02-2026\canal-orange\report_PURE PASSION NMG_CanalPlay_2026_02.xlsx,report_PURE PASSION NMG_CanalPlay_2026_02.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,ccaa2d3fd56c3595bc142f1b0144d079bbd0119188cd6eee3c434b35094e052e,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,10,1,9,29.77,EUR,0,,
